koi_score,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,O/P
1,8.10363271,0.026361,2.33533,2.11,0.0712,687,52.82,20.09,2,4861,4.574,-0.08,0.732,0.733,N
1,4.71510843,0.018268,2.42359,1.46,0.0496,823,108.84,14.18,2,4861,4.574,-0.08,0.732,0.733,N
1,6.365839713,0.026275,1.41102,2.44,0.0659,914,165.33,14.46,1,5776,4.554,-0.18,0.849,0.939,N
0.037,5.97581754,0.035468,0.14724,3.86,0.066,1047,284.25,6.53,1,6108,4.471,-0.08,0.997,1.072,N
0,2.446737317,0.278526,0.01691,26.25,0.0351,1261,597.19,1.749,1,5764,4.548,-0.12,0.863,0.959,N
1,3.04033046,0.104023,2.31195,8.99,0.0374,1021,257.29,10.41,1,5035,4.519,-0.06,0.791,0.754,N
1,15.33528675,0.056,0.81659,5,0.1179,610,32.67,21.65,5,5251,4.581,0.21,0.817,0.926,N
0.998,7.95825328,0.006915,0.29918,1.06,0.0809,1074,314.15,10.01,4,5847,4.191,0.26,1.402,1.113,N
1,31.33046135,0.072904,0.70448,6.5,0.1898,481,12.61,33.19,5,5251,4.581,0.21,0.817,0.926,N
0.006,3.9043425,0.125229,0.39988,12.28,0.0484,1104,351.05,6.856,1,5810,4.526,-0.06,0.898,0.989,N
0,9.286358079,0.19639,2.67897,17.61,0.081,796,95.03,23.029,1,5670,4.523,-0.4,0.821,0.82,N
0,3.951405455,0.331342,0.19337,31.44,0.0482,1133,388.71,5.42,1,6046,4.539,-0.38,0.869,0.953,N
0.999,23.65369415,0.05219,0.41907,7.89,0.1658,731,67.65,23.142,5,5739,4.191,0.3,1.384,1.083,N
0.996,13.23352214,0.020278,0.3884,3.06,0.1126,888,146.67,15.32,5,5739,4.191,0.3,1.384,1.083,N
0.997,6.15560285,0.015336,0.40662,2.32,0.0676,1146,406.94,9.34,5,5739,4.191,0.3,1.384,1.083,N
1,2.090811305,0.010686,0.1588,1.62,0.0329,1642,1718.04,3.32,5,5739,4.191,0.3,1.384,1.083,N
0.995,3.180027898,0.009989,0.5756,1.53,0.0439,1458,1066.86,6.751,4,5847,4.191,0.26,1.402,1.113,N
0.989,50.4467417,0.01767,0.97794,2.67,0.2747,568,24.64,50.9,5,5739,4.191,0.3,1.384,1.083,N
1,11.76307164,0.028519,4.37951,2.35,0.0954,616,33.99,31.76,2,4959,4.603,0.16,0.756,0.849,N
0.878,56.2279271,0.028683,4.47051,2.37,0.2707,366,4.22,90.7,2,4959,4.603,0.16,0.756,0.849,N
0,2.384052875,0.222925,0.03902,17.06,0.0308,1010,244.87,2.27,1,4794,4.58,-0.22,0.701,0.683,N
1,7.953547,0.026448,3.48717,2.25,0.0712,696,55.37,22.68,2,4768,4.536,0.18,0.779,0.759,N
1,4.14451656,0.017441,2.87358,1.48,0.0461,864,132.08,13.767,2,4768,4.536,0.18,0.779,0.759,N
0,4.859386384,0.355227,0.4563,38.33,0.0571,1114,364.23,8.29,1,6072,4.47,-0.1,0.988,1.05,N
0.999,10.52629458,0.095143,3.85261,8.24,0.088,713,61.16,28.26,1,5386,4.553,-0.2,0.793,0.82,N
1,4.583520948,0.056287,2.30111,5.39,0.0535,1038,274.98,13.672,1,5815,4.54,-0.12,0.877,0.973,N
0.876,3.76181843,0.025656,0.06927,2.66,0.047,1121,372.62,3.73,1,5653,4.472,0.1,0.949,0.974,N
1,8.20396958,0.033372,0.65082,3.01,0.0735,742,71.5,13.23,2,5015,4.499,0.1,0.826,0.785,N
1,14.49645186,0.033377,0.0859,3.01,0.1074,613,33.48,9.85,2,5015,4.499,0.1,0.826,0.785,N
1,6.54626149,0.024555,1.35056,2.19,0.0668,810,101.78,14.52,5,5251,4.581,0.21,0.817,0.926,N
1,12.71809866,0.030871,2.98907,2.31,0.0934,562,23.6,29.5,2,4702,4.592,-0.22,0.686,0.67,N
0.999,36.06588163,0.035281,3.78452,2.64,0.1871,397,5.88,63.84,2,4702,4.592,-0.22,0.686,0.67,N
1,4.190425659,0.050076,1.28404,6.21,0.0535,1234,547.9,10.6,1,6073,4.392,0.2,1.135,1.163,N
1,3.709870784,0.040686,1.22579,4.35,0.0471,1151,415.1,9.6255,1,5727,4.463,0.14,0.978,1.013,N
1,16.3297527,0.034822,0.16717,3.75,0.1255,727,66.08,13.31,1,5878,4.444,-0.06,0.987,0.989,N
0.985,27.80756622,0.161479,1.98053,13.84,0.1711,554,22.24,43.26,1,5862,4.584,-0.52,0.785,0.865,N
0.942,80.8723469,0.056129,0.37264,7.59,0.3577,452,9.88,50.5,1,5510,4.222,0.16,1.238,0.932,N
0,3.166465862,0.348902,0.12553,26.82,0.0371,954,196.31,4.05,1,4968,4.575,-0.36,0.704,0.68,N
0.912,24.99324319,0.015956,0.42385,2.29,0.1651,712,60.88,24.1,1,5718,4.181,0,1.317,0.961,N
1,10.35533116,0.024674,2.92779,2.47,0.0895,777,86.22,25.51,1,5501,4.462,0.02,0.918,0.891,N
1,16.08518937,0.040767,0.41177,3.68,0.1173,613,33.43,17.79,1,5239,4.523,0,0.826,0.83,N
0.998,235.9986399,0.14756,2.14449,10.59,0.6534,188,0.29,184.83,1,4245,4.627,0.12,0.657,0.666,N
1,7.49018305,0.029843,3.3941,2.56,0.0703,753,76.06,21.59,4,5103,4.562,0.04,0.787,0.823,N
1,36.2761238,0.035273,3.09103,3.03,0.2012,445,9.29,59.91,4,5103,4.562,0.04,0.787,0.823,N
1,17.46087931,0.026969,7.45729,2.32,0.1236,568,24.6,49.3,4,5103,4.562,0.04,0.787,0.823,N
0.996,56.0560754,0.036134,5.11354,1.94,0.228,233,0.69,94.7,1,3593,4.757,0.26,0.491,0.503,Y
0.974,41.40831669,0.139516,3.42177,11.38,0.2162,453,9.93,67.69,1,5522,4.586,-0.46,0.747,0.786,N
0.994,39.74893077,0.134949,0.31474,14.21,0.2311,552,21.87,29.734,1,6122,4.487,-0.18,0.964,1.041,N
1,5.715425977,0.027348,2.71439,2.47,0.0611,850,123.03,16.74,2,5237,4.572,0.24,0.826,0.927,N
0.959,49.18394185,0.036501,0.31666,8.2,0.2829,669,47.4,34.34,2,5626,3.907,0.36,2.057,1.247,N
0.994,20.0261412,0.025305,2.00738,2.28,0.1409,559,23.14,34.9,2,5237,4.572,0.24,0.826,0.927,N
0,13.61014819,0.192842,0.84633,19.02,0.1061,733,68.29,20.24,1,5697,4.46,-0.26,0.903,0.857,N
0,10.44331991,0.030416,4.32663,2.66,0.0857,667,46.94,29.22,1,4947,4.516,0.08,0.802,0.769,N
1,2.237489571,0.015942,3.26761,1.41,0.0325,1160,427.17,9.527,1,5265,4.58,0.14,0.81,0.91,N
0,5.851520671,0.166109,2.48066,14.62,0.0591,901,155.89,16.497,1,5532,4.53,-0.34,0.806,0.804,N
1,3.167893418,0.025513,2.78453,2.62,0.0426,1221,526.23,11.389,1,5895,4.503,-0.02,0.94,1.026,N
1,4.311780262,0.030716,1.86883,3.11,0.0511,1038,274.84,12.25,3,5527,4.484,0.16,0.927,0.956,N
1,20.0504494,0.026569,1.54536,2.69,0.1423,622,35.44,32,3,5527,4.484,0.16,0.927,0.956,N
1,9.76734503,0.026407,2.17446,2.67,0.0881,791,92.46,22.2,3,5527,4.484,0.16,0.927,0.956,N
1,119.0207044,0.077431,2.31024,8.98,0.4582,366,4.25,120.05,1,5453,4.342,0.16,1.062,0.904,N
0.987,190.3200468,0.034654,0.11866,7.78,0.6972,426,7.8,61,2,5626,3.907,0.36,2.057,1.247,N
0,2.861159894,0.039171,0.22208,4.37,0.0406,1355,797.1,4.58,1,6126,4.458,-0.04,1.021,1.09,N
1,26.44439337,0.038511,3.96328,3.91,0.1687,562,23.54,52.72,4,5427,4.463,0.16,0.929,0.915,N
0.983,51.53997972,0.05435,1.85679,5.51,0.2632,450,9.67,63.88,4,5427,4.463,0.16,0.929,0.915,N
1,5.902245782,0.023909,2.05923,2.43,0.0621,926,173.74,15.59,4,5427,4.463,0.16,0.929,0.915,N
1,2.382951591,0.018369,2.19197,1.86,0.0339,1253,583.01,8.7,4,5427,4.463,0.16,0.929,0.915,N
1,21.02250608,0.037466,2.85327,3.07,0.1378,521,17.48,40.546,2,5067,4.585,-0.08,0.75,0.789,N
1,3.219814777,0.019702,3.26825,1.69,0.04,998,234.93,12.14,4,5103,4.562,0.04,0.787,0.823,N
1,5.912273234,0.027826,4.13623,1.73,0.0537,585,27.72,19.7,2,4072,4.696,-0.18,0.57,0.586,N
1,8.98581901,0.026527,3.50489,1.65,0.0709,509,15.9,24.64,2,4072,4.696,-0.18,0.57,0.586,N
0,12.94066866,0.259639,4.93266,22.94,0.1039,723,64.64,35.21,1,5875,4.572,-0.42,0.809,0.895,N
0.573,20.5452375,0.017424,0.52476,2.41,0.1437,742,71.57,22.7,1,5670,4.206,0,1.264,0.937,N
1,33.60123371,0.083298,2.04292,8.46,0.1956,495,14.22,49.6,2,5149,4.447,0.42,0.93,0.882,N
1,6.76652928,0.019382,1.85399,1.97,0.0672,845,120.48,16.49,2,5149,4.447,0.42,0.93,0.882,N
1,4.347288783,0.019273,4.18264,2.36,0.0524,1174,449.79,16.107,1,5754,4.345,0.16,1.122,1.014,N
1,4.601811819,0.02579,2.109,2.35,0.0501,896,152.91,13.32,2,4986,4.496,0.16,0.833,0.793,N
0.997,11.18719905,0.017042,2.28406,1.55,0.0907,667,46.65,24.72,2,4986,4.496,0.16,0.833,0.793,N
1,4.220965778,0.046401,0.5702,2.62,0.0418,595,29.68,8.13,1,3837,4.747,-0.06,0.517,0.544,N
